Header	            Thông tin Chi Tiết
Bwd Blk Rate Avg	Tốc độ truyền bulk theo hướng backward.
Subflow Fwd Pkts	Số lượng gói tin của “subflow” (luồng phụ) theo hướng forward; có thể phân tách từ luồng tổng nếu có tính chất đặc trưng phân đoạn.
Subflow Fwd Byts	Tổng số byte trong các gói tin của subflow forward.
Subflow Bwd Pkts	Số gói tin của subflow theo hướng backward.
Subflow Bwd Byts	Tổng số byte của subflow backward.
Init Fwd Win Byts	Kích thước ban đầu của cửa sổ TCP (TCP window) khi bắt đầu truyền dữ liệu theo hướng forward.
Init Bwd Win Byts	Kích thước ban đầu của TCP window theo hướng backward.
Fwd Act Data Pkts	Số lượng gói tin chứa dữ liệu thực sự theo hướng forward (loại bỏ các gói tin chỉ mang thông tin điều khiển).
Fwd Seg Size Min	Kích thước nhỏ nhất của các segment dữ liệu theo hướng forward.
Active Mean	        Thời gian trung bình mà kết nối ở trạng thái “active” (có giao tiếp, truyền dữ liệu).
Active Std	        Độ lệch chuẩn của thời gian active, cho biết tính ổn định của hoạt động trong kết nối.
Active Max	        Thời gian active lớn nhất trong một kết nối.
Active Min	        Thời gian active nhỏ nhất.
Idle Mean	        Thời gian trung bình khi kết nối ở trạng thái “idle” (không có giao tiếp).
Idle Std	        Độ lệch chuẩn của thời gian idle.
Idle Max	        Thời gian idle lớn nhất.
Idle Min	        Thời gian idle nhỏ nhất.
Label	            Nhãn phân loại của luồng dữ liệu, thường dùng để xác định loại hành vi (ví dụ: benign, DDoS, PortScan, Bot, Brute Force, v.v.) hoặc tấn công cụ thể.
